version,carrier,mcc,mnc,apn,type,mmsc,mmsproxy,mmsport,user,password,proxy,port,server,authtype
1,Vodafone ES-Internet,214,1,ac.vodafone.es,default/supl,,,,vodafone,vodafone,,,,
1,Vodafone,214,1,airtelwap.es,default/supl,,,,wap@wap,wap125,,,,
1,Vodafone ES,214,1,airtelwap.es,supl,,,,wap@wap,wap125,,,,
1,Vodafone ES MMS,214,1,mms.vodafone.net,mms,http://mmsc.vodafone.es/servlets/mms,212.73.32.10,80,wap@wap,wap125,,,,
1,Orange Internet ES,214,3,internet,default/supl,,,,orange,orange,,,,
1,Orange ES MMS,214,3,orangemms,mms,http://mms.orange.es,172.22.188.25,8080,orange,orange,,,,
1,Orange World ES,214,3,orangeworld,default/supl,,,,orange,orange,10.32.61.10,8080,,
1,Yoigo,214,4,internet,default/supl,,,,,,010.008.000.036,8080,,
1,Yoigo MMS,214,4,mms,mms,http://mms,193.209.134.141,80,,,,,,
1,INTERNET GPRS,214,6,airtelnet.es,default/supl,,,,vodafone,vodafone,,,,
1,Pepephone Internet,214,6,gprs.pepephone.com,default/supl,,,,,,,,,
1,Pepephone MMS,214,6,mms.pepephone.com,mms,,212.073.032.010,80,wap@wap,wap125,,,,
1,MMS Vodafone,214,6,mms.vodafone.net,mms,http://mmsc.vodafone.es/servlets/mms,212.73.32.10,80,wap@wap,wap125,,,,
1,Movistar ES,214,7,movistar.es,default/supl,,,,MOVISTAR,MOVISTAR,,,,
1,Movistar ES-MMS,214,7,telefonica.es,mms,http://mms.movistar.com,10.138.255.5,8080,telefonica,telefonica,,,,
1,blau ES,214,19,gprs-service.com,default/supl/mms,http://217.18.32.180:8080,217.18.32.181,8080,,,,,,
1,Simyo ES,214,19,gprs-service.com,default/supl,,,,,,,,,
1,Simyo ES-MMS,214,19,gprs-service.com,mms,http://mms-services.eu,217.12.32.180,8080,,1234,,,,
1,Jazztel,214,21,jazzinternet,default/supl,,,,,,,,,
1,Jazztel MMS,214,21,jazzmms,mms,http://jazztelmms.com:8081,217.18.32.183,8081,,,,,,
1,Pannon MMS,216,1,mms,mms,http://mmsc.pgsm.hu/,193.225.154.22,8080,,,,,,
1,Pannon,216,1,net,default/supl,,,,,,,,,
1,T-Mobile NET GPRS,216,30,internet,default/supl,,,,,,,,,
1,T-Mobile HU MMS,216,30,mms,mms,http://mms.t-mobile.hu/servlets/mms,212.51.126.10,8080,mms,mms,,,,
1,T-Mobile HU,216,30,wnw,default/supl,http://mms.t-mobile.hu/servlets/mms,212.51.126.10,8080,,,,,,
1,Vodafone HU,216,70,internet.vodafone.net,default/supl,,,,,,,,,
1,Vodafone HU MMS,216,70,mms.vodafone.net,mms,http://mms.vodafone.hu/servlets/mms,80.244.97.2,8080,,,,,,
1,ERONET START,218,3,gprs.eronet.ba,default/supl,,,,,,,,,
1,ERONET MI 50,218,3,web.eronet.ba,supl,,,,,,,,,
1,ERONET MI 200,218,3,web.eronet.ba,supl,,,,,,,,,
1,ERONET 512,218,3,data1.eronet.ba,supl,,,,,,,,,
1,ERONET 1GB,218,3,data4.eronet.ba,supl,,,,,,,,,
1,ERONET 4GB,218,3,data2.eronet.ba,supl,,,,,,,,,
1,ERONET FLAT,218,3,data3.eronet.ba,supl,,,,,,,,,
1,ERONET MMS,218,3,mms.eronet.ba,mms,http://mms.gprs.eronet.ba/mms/wapenc,010.012.003.001,8080,,,,,,
1,BH Mobile,218,90,active.bhmobile.ba,default/supl,,,,,,,,,
1,BH Mobile MMS,218,90,mms.bhmobile.ba,mms,http://mms.bhmobile.ba/cmmsc/post,195.222.056.041,8080,,,,,,
1,T-Mobile HR MMS,219,1,mms.htgprs,mms,http://mms.t-mobile.hr/servlets/mms,10.12.0.4,8080,,,,,,
1,T-Mobile HR,219,1,web.htgprs,default/supl,,,,,,,,,
1,Tele2 HR,219,2,wap.tele2.hr,default/supl/mms,http://mmsc.tele2.hr,193.12.40.66,8080,,,,,,
1,VIPnet,219,10,gprs0.vipnet.hr,default/supl,,,,,,,,,
1,VIPnet MMS,219,10,mms.vipnet.hr,mms,http://mms.vipnet.hr/servlets/mms,212.91.99.91,8080,,,,,,
1,Telenor RS,220,1,internet,default/supl/mms,,,,telenor,gprs,217.65.192.33,8080,,
1,Telenor RS MMS,220,1,mms,default/supl/mms,http://mms.telenor.rs/servlets/mms,217.65.192.33,8080,,,,,,
1,MTS RS,220,3,gprswap,default/supl/mms,,,,mts,64,172.017.088.198,8080,,
1,MTS RS MMS,220,3,mms,default/supl/mms,http://mms.mts064.telekom.rs/mms/wapenc,172.017.085.131,8080,mts,64,,,,
1,VIP MMS,220,5,vipmobile.mms,default/supl/mms,http://mmsc.vipmobile.rs/,212.15.182.82,8080,vipmobile,vipmobile,,,,
1,VIP,220,5,vipmobile,default/supl/mms,,,,vipmobile,vipmobile,212.15.182.82,8080,,
1,TIM IT,222,1,ibox.tim.it,default/supl,,,,,,,,,
1,TIM IT WAP,222,1,wap.tim.it,default/supl,,,,WAPTIM,WAPTIM,213.26.205.1,80,http://wap.i.tim.it,
1,NOVERCA MMS,222,1,mms.noverca.it,mms,http://mms.noverca.it/,213.230.130.89,80,,,,,,
1,TIM MMS,222,1,mms.tim.it,mms,http://mms.tim.it/servlets/mms,213.230.130.89,80,,,,,,
1,iTIM,222,1,unico.tim.it,mms,http://mms.tim.it/servlets/mms,213.230.130.89,80,,,213.230.130.89,80,,
1,NOVERCA WEB,222,1,web.noverca.it,default/supl,,,,,,,,,
1,Vodafone IT MMS,222,10,mms.vodafone.it,mms,http://mms.vodafone.it/servlets/mms,10.128.224.10,80,,,,,,
1,Vodafone IT,222,10,mobile.vodafone.it,default/supl,,,,,,,,,
1,Vodafone WEB,222,10,web.omnitel.it,default/supl,,,,,,,,,
1,Wind IT WEB,222,88,internet.wind,default/supl,,,,,,,,,
1,Wind Intranet,222,88,intranetwind.it.id98,default/supl,,,,,,,,,
1,Wind IT MMS,222,88,mms.wind,mms,http://mms.wind.it,212.245.244.011,8080,,,,,,
1,Fastweb,222,99,apn.fastweb.it,default/supl/mms,http://mms.fastweb.it/mms/wapenc,10.0.65.9,8080,,,,,,
1,3 IT,222,99,tre.it,default/supl/mms,http://10.216.59.240:10021/mmsc,wsb.treumts.it,8799,,,,,,
1,3,222,99,tre.it,default/supl,http://10.216.59.240:10021/mmsc,62.13.171.3,8799,,,,,,
1,Vodafone Internet,226,1,internet.vodafone.ro,default/supl,,,,internet.vodafone.ro,vodafone,,,,
1,Vodafone RO,226,1,internet.vodafone.ro,default/supl,,,,internet.vodafone.ro,vodafone,,,,
1,Vodafone RO live! PRE,226,1,live.pre.vodafone.com,default/supl,,,,live,vodafone,193.230.161.231,8080,,
1,Vodafone RO live!,226,1,live.vodafone.com,default/supl,,,,live,vodafone,193.230.161.231,8080,,
1,Vodafone RO MMS PRE,226,1,mms.pre.vodafone.ro,mms,http://multimedia/servlets/mms,193.230.161.231,8080,mms,vodafone,,,,
1,Vodafone RO MMS,226,1,mms.vodafone.ro,mms,http://multimedia/servlets/mms,193.230.161.231,8080,mms,vodafone,,,,
1,Cosmote Broadband RO,226,3,broadband,default/supl,,,,,,,,,
1,Cosmote Internet RO,226,3,internet,default/supl,,,,,,,,,
1,Cosmote RO MMS,226,3,mms,mms,http://mmsc1.mms.cosmote.ro:8002,10.252.1.62,8080,mms,mms,,,,
1,Cosmote WNW RO,226,3,wnw,default/supl,,,,wnw,wnw,20.252.1.62,8080,,
1,Digi.Mobil,226,5,internet,default/supl,,,,,,,,,
1,Orange RO,226,10,internet,default/supl,,,,,,,,,
1,Orange RO MMS,226,10,mms,mms,http://wap.mms.orange.ro:8002,62.217.247.252,8799,,,,,,
1,Swisscom MMS,228,1,event.swisscom.ch,mms,http://mms.natel.ch:8079,192.168.210.2,8080,,,,,,
1,Swisscom,228,1,gprs.swisscom.ch,default/supl,,,,,,,,,
1,Sunrise Internet,228,2,internet,default/supl,,,,,,,,,
1,Sunrise MMS,228,2,mms.sunrise.ch,mms,http://mmsc.sunrise.ch,212.35.34.75,8080,mms,mms,,,,
1,Orange CH,228,3,internet,default/supl,,,,,,,,,
1,Orange CH-MMS,228,3,mms,mms,http://192.168.151.3:8002,192.168.151.002,8080,,,,,,
1,T-Mobile CZ,230,1,internet.t-mobile.cz,default/supl,http://mms,010.000.000.010,80,wap,wap,,,*,
1,T-Mobile CZ MMS,230,1,mms.t-mobile.cz,mms,http://mms,010.000.000.010,80,mms,mms,,,*,
1,O2 CZ-Internet,230,2,internet,default/supl,,,,,,,,,
1,O2 CZ-MMS,230,2,mms,mms,http://mms.o2active.cz:8002,160.218.160.218,8080,,,,,O2 MMS,
1,Vodafone CZ,230,3,internet,default/supl,,,,,,,,,
1,Vodafone CZ MMS,230,3,mms,mms,http://mms,10.11.10.111,80,mms,mms,,,mms,
1,Vodafone CZ Prepaid,230,3,ointernet,default/supl,,,,,,,,,
1,Orange SK,231,1,internet,default/supl,,,,,,,,,
1,Orange SK MMS,231,1,mms,mms,http://imms.orange.sk,213.151.208.145,8799,wap,wap,,,,
1,T-Mobile SK,231,2,internet,default/supl,,,,,,,,,
1,T-Mobile SK MMS,231,2,mms,mms,http://mms,192.168.1.1,8080,mms,mms,,,,
1,T-Mobile SK,231,4,internet,default/supl,,,,,,,,,
1,T-Mobile SK MMS,231,4,mms,mms,http://mms,192.168.1.1,8080,mms,mms,,,,
1,Orange Internet,231,5,internet,default/supl,,,,,,,,,
1,Orange MMS,231,5,mms,mms,http://imms.orange.sk,213.151.208.145,8799,wap,wap,,,,
1,O2 SK,231,6,o2internet,default/supl,,,,,,,,,
1,O2 SK MMS,231,6,o2mms,mms,http://mms.o2world.sk:8002,10.97.1.11,8080,,,,,,
1,Mobilkom,232,1,a1.net,default/supl,,,,ppp@a1plus.at,ppp,,,,
1,A1,232,1,a1.net,default/supl/mms,http://mmsc.A1.net,194.048.124.071,8001,ppp@A1plus.at,ppp,,,*,
1,Mobilkom MMS,232,1,free.a1.net,mms,http://mmsc.a1.net,194.48.124.71,8001,ppp@a1plus.at,ppp,,,,
1,T-Mobile AT,232,3,gprsinternet,default/supl,http://mmsc.t-mobile.at/servlets/mms,010.012.000.020,80,t-mobile,tm,,,*,
1,T-Mobile AT-MMS,232,3,gprsmms,mms,http://mmsc.t-mobile.at/servlets/mms,010.012.000.020,80,t-mobile,tm,,,*,
1,Orange AT-MMS,232,5,mms.one.at,mms,http://mmsc.one.at/mms/wapenc,194.024.128.118,8080,mms,mms,,,*,
1,Orange MMS,232,5,orange.mms,mms,http://mmsc.orange.at/mms/wapenc,194.24.128.118,8080,mms,mms,,,,
1,Orange Web,232,5,orange.web,default/supl,,,,web,web,,,,
1,Orange AT,232,5,web.one.at,default/supl,http://mmsc.one.at/mms/wapenc,194.024.128.118,8080,web,web,,,*,
1,tele.ring MMS,232,7,mms,mms,http://relay.mms.telering.at,212.95.31.50,8080,wap@telering.at,wap,,,,
1,tele.ring WEB,232,7,web,default/supl,,,,web@telering.at,web,,,,
1,Drei A,232,10,drei.at,default/supl/mms,http://mmsc,213.094.078.133,8799,drei,,,,http://mobile.drei.at,
1,Bob,232,11,bob.at,default/supl,,,,data@bob.at,ppp,,,http://start.bob.at/,
1,Bob MMS,232,11,mms.bob.at,mms,http://mmsc.bob.at,194.48.124.7,8001,data@bob.at,web,194.48.124.7,8001,http://start.bob.at/,
1,Yesss,232,12,web.yesss.at,default/supl,,,,,,,,,
1,UBIQUISYS,234,1,internet,default/supl/mms,,,,,,,,,
1,O2 MOBILE WEB,234,2,mobile.o2.co.uk,default/supl,,,,O2web,O2web,,,,
1,O2 MMS Prepay,234,2,payandgo.o2.co.uk,mms,http://mmsc.mms.o2.co.uk:8002,193.113.200.195,8080,payandgo,password,,,,
1,O2 MMS Postpay,234,2,wap.o2.co.uk,mms,http://mmsc.mms.o2.co.uk:8002,193.113.200.195,8080,o2wap,password,,,,
1,Giffgaff,234,10,giffgaff.com,default/supl/mms,http://mmsc.mediamessaging.co.uk:8002,193.113.200.195,8080,giffgaff,password,,,http://mmsc.mediamessaging.co.uk:8002,
1,O2 UK MMS,234,10,idata.o2.co.uk,mms,http://mmsc.mms.o2.co.uk:8002,193.113.200.195,8080,vertigo,password,,,,
1,O2 UK,234,10,mobile.o2.co.uk,default/supl,,,,O2web,O2web,,,,
1,O2 UK,234,10,mobile.o2.co.uk,default/supl/mms,,,,vertigo,,,,,
1,O2 UK Prepay MMS,234,10,payandgo.o2.co.uk,default/supl/mms,http://mmsc.mms.o2.co.uk,193.113.200.195,,Vertigo,,,8080,,
1,O2 MMS Prepay,234,10,payandgo.o2.co.uk,mms,http://mmsc.mms.o2.co.uk:8002,193.113.200.195,8080,payandgo,password,,,,
1,Tesco,234,10,prepay.tesco-mobile.com,default/supl/mms,http://mmsc.mms.02.co.uk:8002,193.113.200.195,8080,tescowap,tescowap,193.113.200.195,8080,,
1,O2 UK Postpay MMS,234,10,wap.o2.co.uk,default/supl/mms,http://mmsc.mms.o2.co.uk,193.113.200.195,,O2wap,,,8080,,
1,O2 MMS Postpay,234,10,wap.o2.co.uk,mms,http://mmsc.mms.o2.co.uk:8002,193.113.200.195,8080,o2wap,password,,,,
1,O2 MOBILE WEB,234,11,mobile.o2.co.uk,default/supl,,,,O2web,O2web,,,,
1,O2 MMS Prepay,234,11,payandgo.o2.co.uk,mms,http://mmsc.mms.o2.co.uk:8002,193.113.200.195,8080,payandgo,password,,,,
1,O2 MMS Postpay,234,11,wap.o2.co.uk,mms,http://mmsc.mms.o2.co.uk:8002,193.113.200.195,8080,o2wap,password,,,,
1,Vodafone UK Contract Internet,234,15,Internet,default/supl/mms,http://mms.vodafone.co.uk/servlets/mms,212.183.137.012,8799,web,web,,,*,
1,Vodafone Post-pay ISP,234,15,internet,default/supl,,,,web,web,,,,
1,Talkmobile,234,15,payg.talkmobile.co.uk,default/supl,,,,,,,,,
1,Talkmobile MMS,234,15,payg.talkmobile.co.uk,mms,http://mms.talkmobile.co.uk/servlets/mms,212.183.137.12,8799,wap,password,,,,
1,Vodafone Prepay,234,15,pp.vodafone.co.uk,default/supl/mms,http://mms.vodafone.co.uk/servlets/mms,212.183.137.12,8799,wap,wap,,,,
1,Vodafone UK Contract WAP,234,15,wap.vodafone.co.uk,default/supl/mms,http://mms.vodafone.co.uk/servlets/mms,212.183.137.012,8799,wap,wap,,,*,
1,3 UK,234,20,three.co.uk,default/supl/mms,http://mms.um.three.co.uk:10021/mmsc,mms.three.co.uk,8799,,,,,,
1,T-Mobile UK,234,30,general.t-mobile.uk,default/supl/mms,http://mmsc.t-mobile.co.uk:8002,149.254.201.135,8080,t-mobile,tm,,,*,
1,Picture Message,234,30,general.t-mobile.uk,mms,http://mmsc.t-mobile.co.uk:8002,149.254.201.135,8080,user,wap,,,,
1,Virgin UK,234,30,goto.virginmobile.uk,default/supl,,,,user,,,,,
1,Virgin UK MMS,234,30,goto.virginmobile.uk,mms,http://mms.virginmobile.co.uk:8002,193.30.166.2,8080,,,,,,
1,Virgin UK,234,31,goto.virginmobile.uk,default/supl,,,,user,,,,,
1,Virgin UK MMS,234,31,pp.vodafone.co.uk,mms,http://mms.virginmobile.co.uk:8002,149.254.201.135,8080,wap,wap,,,,
1,Virgin UK,234,32,goto.virginmobile.uk,default/supl,,,,user,,,,,
1,Virgin UK MMS,234,32,pp.vodafone.co.uk,mms,http://mms.virginmobile.co.uk:8002,149.254.201.135,8080,wap,wap,,,,
1,Orange UK,234,33,orangeinternet,default/supl,,,,,,,,,
1,Orange UK MMS,234,33,orangemms,mms,http://mms.orange.co.uk,192.168.224.010,8080,Orange,Multimedia,192.168.224.010,8080,,
1,Orange Internet,234,34,orangeinternet,default/supl,,,,,,,,,
1,Orange MMS,234,34,orangemms,mms,http://mms.orange.co.uk/,192.168.224.010,8080,,,,,,
1,Jersey MMS,234,50,mms,mms,http://mms.surfmail.com/mmsc,212.9.19.199,3130,mms,mms,,,,
1,Jersey,234,50,pepper,default/supl,,,,,,,,,
1,Sure Mobile MMS,234,55,MMS,mms,http://mmsc.gprs.cw.com/,10.0.3.101,80,,,,,,
1,Sure Mobile,234,55,internet,default/supl,,,,,,,,,
1,Sure Picture Messaging,234,55,mms,mms,http://mmsc.gprs.cw.com/,10.0.3.101,80,,,,,,
1,Manx Telecom,234,58,3gpronto,default/supl/mms,http://mms.manxpronto.net:8002,,,,,195.010.099.046,8080,,
1,3G HSDPA,234,58,3gpronto,default/supl,,,,,,,,,
1,Manx Telecom Contract MMS,234,58,mms.manxpronto.net,mms,http://mms.manxpronto.net:8002,195.10.99.46,8080,mms,mms,,,,
1,Manx Telecom Prepay MMS,234,58,mms.prontogo.net,mms,http://mms.manxpronto.net:8002,195.10.99.41,8080,mmsgo,mmsgo,,,,
1,Manx Telecom Contract WEB,234,58,web.manxpronto.net,default/supl,,,,gprs,gprs,,,,
1,TDC Internet,238,1,internet,default/supl,,,,,,,,,
1,TDC MMS,238,1,mms,mms,http://mmsc.tdc.dk:8002,194.182.251.15,8080,,,,,,
1,TDC WAP,238,1,wap,default/supl,,,,,,194.182.251.15,8080,,
1,Telenor Internet,238,2,Internet,default/supl,,,,,,,,,
1,Bibob internet DK,238,2,internet.bibob.dk,default/supl/mms,,,,,,,8080,,
1,Telenor DK,238,2,internet,default/supl,,,,,,,,,
1,Bibob MMS DK,238,2,mms.bibob.dk,mms,http://mms.telenor.dk,,8080,,,212.88.64.8,8080,,
1,Telenor DK MMS,238,2,telenor,mms,http://mms.telenor.dk,212.88.64.8,9201,telenor,telenor,,,,
1,3 DK,238,6,data.tre.dk,default/supl/mms,http://mms.3.dk,mmsproxy.3.dk,8799,,,,,,
1,3 Danmark,238,6,data.tre.dk,default/supl/mms,http://mms.3.dk/,172.16.1.25,8799,,,,,,
1,Telia DK,238,20,www.internet.mtelia.dk,default/supl,,,,,,,,,
1,Telia DK MMS,238,20,www.mms.mtelia.dk,mms,http://mms.telia.dk,193.209.134.131,8080,,,,,,
1,Telenor Internet,238,77,Internet,default/supl,,,,,,,,,
1,Telenor MMS,238,77,telenor,mms,http://mms.telenor.dk,212.88.64.8,8080,,,,,,
1,Halebop Internet,240,1,halebop.telia.se,default/supl,,,,,,,,,
1,Halebop MMS,240,1,mms.telia.se,mms,http://mmss/,193.209.134.132,8080,mms,telia,,,,
1,Telia SE MMS,240,1,mms.telia.se,mms,http://mmss/,193.209.134.132,80,mms,telia,,,,
1,Telia SE,240,1,online.telia.se,default/supl,,,,*,,,,,
1,3 SE,240,2,data.tre.se,default/supl/mms,,,,,,,,,
1,3 SE MMS,240,2,data.tre.se,mms,http://mms.tre.se,mmsproxy.tre.se,8799,,,,,,
1,Telenor Mobilsurf,240,4,services.telenor.se,default/supl,,,,,,172.30.253.241,8799,,
1,Telenor MMS,240,4,services.telenor.se,mms,http://mms,172.30.253.241,8799,,,,,,
1,Telenor Mobilsurf,240,6,services.telenor.se,default/supl,,,,,,173.30.253.241,8799,,
1,Telenor MMS,240,6,services.telenor.se,mms,http://mms,173.30.253.241,8799,,,,,,
1,Tele2 SE,240,7,internet.tele2.se,default/supl/mms,http://mmsc.tele2.se,130.244.202.030,8080,wap,wap,,,,
1,Tele2,240,7,internet.tele2.se,default/supl/mms,http://mmsc.tele2.se,130.244.202.30,8080,,,,,,
1,Telenor SE,240,8,internet.telenor.se,default/supl,,,,,,,,,
1,Telenor Mobilsurf,240,8,services.telenor.se,default/supl,,,,,,172.30.253.241,8799,,
1,Telenor SE MMS,240,8,services.telenor.se,mms,http://mms,172.30.253.241,8799,,,,,,
1,TelenorMobilsurf,240,9,services.telenor.se,default/supl,,,,,,173.30.253.241,8799,,
1,Telenor MMS,240,9,services.telenor.se,mms,http://mms,173.30.253.241,8799,,,,,,
1,Spring data,240,10,data.springmobil.se,default/supl,,,,,,,,,
1,Spring MMS,240,10,mms.springmobil.se,mms,http://mms.springmobil.se,213.88.184.37,8080,,,,,,
1,Ludo Internet,242,1,internet.ventelo.no,default/supl,,,,,,,,,
1,Ludo MMS,242,1,mms.ventelo.no,mms,http://mmsc/,10.10.10.11,8080,ventelo,1111,,,,
1,Telenor MMS,242,1,mms,mms,http://mmsc/,10.10.10.11,8080,,,,,,
1,Mobitalk Internet,242,1,telenor,default/supl,,,,dj,dj,10.10.10.10,8080,,
1,Talkmore,242,1,telenor,default/supl/mms,,,,,,,"default,supl",,
1,Mobitalk MMS,242,1,telenor,mms,http://mmsc/,10.10.10.11,8080,dj,dj,,,,
1,Netcom Internet,242,2,internet.netcom.no,default/supl,,,,,,,,,
1,Chess MMS,242,2,mms.netcom.no,mms,http://mms/,193.209.134.133,8080,chess,chess,,,,
1,Chess Internet,242,2,netcom,default/supl,,,,chess,chess,10.254.254.10,8080,,
1,Tele2 NO Internet,242,3,internet.tele2.no,default/supl,,,,,,,,,
1,Tele2 NO MMS,242,3,mms.tele2.no,mms,mmsc.tele2.no,192.12.40.14:8080,,wap,wap,,,,
1,Tele2 MMS,242,4,internet.tele2.no,mms,http://mmsc.tele2.no,193.012.040.014,8080,,,,,,
1,Tele2 Internett,242,4,internet.tele2.no,default/supl,,,,,,,,,
1,NwN,242,5,internet,default/supl,,,,,,,,,
1,NwN MMS,242,5,mms,mms,http://mms.nwn.no,188.149.250.10,80,,,,,,
1,DNA Internet,244,3,internet,default/supl,,,,,,,,,
1,DNA MMS,244,3,mms,mms,http://mmsc.dnafinland.fi/,10.1.1.2,8080,dna,mms,,,,
1,DNA Internet,244,4,internet,default/supl,,,,,,,,,
1,DNA MMS,244,4,mms,mms,http://mmsc.dnafinland.fi/,10.1.1.2,8080,dna,mms,,,,
1,Elisa FI,244,5,Internet,default/supl,,,,,,,,,
1,Elisa Internet,244,5,internet,default/supl,,,,,,,,,
